iter	F1	Logloss
0	0.7637130802	0.6685894476
1	0.7679586563	0.6416883251
2	0.7679586563	0.6148861795
3	0.7681770285	0.5887867255
4	0.7689030884	0.5632973755
5	0.7780401417	0.5380728739
6	0.7695338148	0.5192493362
7	0.7698360656	0.4991373216
8	0.7703412073	0.479773506
9	0.7669966997	0.4600279583
10	0.7729980146	0.4419265865
11	0.7759418374	0.4224985344
12	0.7767503303	0.4055983102
13	0.7814136126	0.3905164762
14	0.7795275591	0.3739215546
15	0.8005164622	0.3578903218
16	0.8020434227	0.3441109926
17	0.802049968	0.3337893472
18	0.8025559105	0.320510992
19	0.8081321474	0.3078110532
20	0.8117048346	0.296665473
21	0.8119440915	0.2854482396
22	0.8114649682	0.2761474746
23	0.8114649682	0.266820293
24	0.8114649682	0.2574777938
25	0.8127388535	0.2484389671
26	0.8125	0.2406491103
27	0.8132568515	0.2320004071
28	0.8119821542	0.223762188
29	0.8112244898	0.2157606568
30	0.8130185067	0.2079846129
31	0.8135376756	0.2021944876
32	0.8135376756	0.1955653205
33	0.814057508	0.1886778434
34	0.8135376756	0.1827331884
35	0.814057508	0.1771114907
36	0.8125399872	0.1719603944
37	0.8125399872	0.1671053352
38	0.8125399872	0.1624648538
39	0.8125399872	0.1578715964
40	0.8120204604	0.1532685247
41	0.8132992327	0.1494770917
42	0.8132992327	0.1458138776
43	0.8142948309	0.1418698595
44	0.8142948309	0.1379984545
45	0.8142948309	0.1347824412
46	0.8135376756	0.1314032646
47	0.8130185067	0.1284879015
48	0.8137755102	0.1256700838
49	0.8135376756	0.1226725058
50	0.8135376756	0.1199170877
51	0.8142948309	0.1173441666
52	0.8142948309	0.115096021
53	0.8142948309	0.1125688936
54	0.8173138129	0.1101147035
55	0.8173138129	0.1079130617
56	0.8173138129	0.1060350455
57	0.8173138129	0.1040399733
58	0.8218135701	0.1020946692
59	0.8247944339	0.1002445334
60	0.8255372946	0.09844501911
61	0.8264984227	0.09702734461
62	0.8272383354	0.09551775493
63	0.8287153652	0.09404607818
64	0.8294524858	0.09266307128
65	0.8309239472	0.09132016077
66	0.8309239472	0.09008074705
67	0.8316582915	0.08877274981
68	0.8316582915	0.08764603852
69	0.8318695107	0.08675180003
70	0.831136221	0.08557700849
71	0.831136221	0.08457086736
72	0.8313479624	0.08356274257
73	0.8318695107	0.08282362662
74	0.8318695107	0.08184279581
75	0.8318695107	0.08123791554
76	0.831136221	0.08039536143
77	0.8309239472	0.07952045359
78	0.8316582915	0.0788673051
